Date : 2025-04-03 08:14:49
Directory : d:\python\3.12.2\lib\site-packages\scalesim
Total : 144 files,  9435 codes, 1734 comments, 1666 blanks, all 12835 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\conv_nets\yolo.csv                                                | CSV        |         23 |          0 |          1 |         24 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\conv_nets\yolo_tiny.csv                                           | CSV        |         10 |          0 |          2 |         12 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\conv_nets\yolo_tiny_layer1.csv                                    | CSV        |          2 |          0 |          1 |          3 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\deepbench\DeepBenchConv\DeepBench.csv                             | CSV        |        108 |          0 |          0 |        108 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\deepbench\DeepBenchConv\DeepSpeech.csv                            | CSV        |          7 |          0 |          1 |          8 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\deepbench\DeepBenchConv\FaceRecognition.csv                       | CSV        |          6 |          0 |          1 |          7 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\deepbench\DeepBenchConv\FaceRecognitionID.csv                     | CSV        |         19 |          0 |          1 |         20 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\deepbench\DeepBenchConv\OCR.csv                                   | CSV        |          5 |          0 |          1 |          6 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\deepbench\DeepBenchConv\Resnet.csv                                | CSV        |         33 |          0 |          1 |         34 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\deepbench\DeepBenchConv\SpeakerID.csv                             | CSV        |         17 |          0 |          1 |         18 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\deepbench\DeepBenchConv\Vision.csv                                | CSV        |         27 |          0 |          1 |         28 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\deepbench\DeepBench_Dense\DeepBench_DenseMatrixMultiplication.csv | CSV        |         85 |          0 |          1 |         86 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\deepbench\DeepBench_Dense\DeepBench_GEMM_github.csv               | CSV        |          6 |          0 |          1 |          7 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\deepbench\DeepBench_Dense\DeepBench_GEMM_github_forintel.csv      | CSV        |          5 |          0 |          1 |          6 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\deepbench\DeepBench_LSTM\CharacterLanguageModelling.csv           | CSV        |          6 |          0 |          4 |         10 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\deepbench\DeepBench_LSTM\DeepBenchLSTM.csv                        | CSV        |         26 |          0 |          4 |         30 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\deepbench\DeepBench_LSTM\LanguageModelling.csv                    | CSV        |          6 |          0 |          1 |          7 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\deepbench\DeepBench_LSTM\MachineTranslation.csv                   | CSV        |         16 |          0 |          1 |         17 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\deepbench\deepbench_output.csv                                    | CSV        |         85 |          0 |          1 |         86 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\dlrm\DLRM.csv                                                     | CSV        |         11 |          0 |          0 |         11 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\dlrm\dlrm_fwd.csv                                                 | CSV        |          9 |          0 |          1 |         10 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\dlrm\dlrm_inp_grad.csv                                            | CSV        |          9 |          0 |          1 |         10 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\dlrm\dlrm_weight_grad.csv                                         | CSV        |          9 |          0 |          1 |         10 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\AlphaGoZero.csv                                            | CSV        |          9 |          0 |          2 |         11 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\DeepSpeech2.csv                                            | CSV        |          7 |          0 |          0 |          7 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\FasterRCNN.csv                                             | CSV        |         47 |          0 |          1 |         48 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\MLPERF.csv                                                 | CSV        |      1,104 |          0 |         15 |      1,119 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\NCF_recommendation.csv                                     | CSV        |         10 |          0 |          2 |         12 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\NCF_recommendation_short.csv                               | CSV        |          8 |          0 |          0 |          8 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\Resnet50.csv                                               | CSV        |         55 |          0 |          2 |         57 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\Sentimental_seqCNN.csv                                     | CSV        |          6 |          0 |          0 |          6 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\Sentimental_seqLSTM.csv                                    | CSV        |         28 |          0 |          2 |         30 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\Sentimental_seqLSTM_short.csv                              | CSV        |          9 |          0 |          2 |         11 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\Transformer.csv                                            | CSV        |        893 |          0 |          7 |        900 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\Transformer_short.csv                                      | CSV        |         11 |          0 |          0 |         11 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\div16q\AlphaGoZero.csv                                     | CSV        |          9 |          0 |          2 |         11 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\div16q\DeepSpeech2.csv                                     | CSV        |          7 |          0 |          0 |          7 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\div16q\FasterRCNN.csv                                      | CSV        |         47 |          0 |          0 |         47 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\div16q\NCF_recommendation_short.csv                        | CSV        |          7 |          0 |          2 |          9 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\div16q\Resnet50.csv                                        | CSV        |         55 |          0 |          2 |         57 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\div16q\Sentimental_seqCNN.csv                              | CSV        |          5 |          0 |          2 |          7 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\div16q\Sentimental_seqLSTM_short.csv                       | CSV        |          9 |          0 |          2 |         11 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\div16q\Transformer_short.csv                               | CSV        |         10 |          0 |          2 |         12 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\div256q\AlphaGoZero.csv                                    | CSV        |         10 |          0 |          0 |         10 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\div256q\DeepSpeech2.csv                                    | CSV        |          7 |          0 |          0 |          7 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\div256q\FasterRCNN.csv                                     | CSV        |         47 |          0 |          0 |         47 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\div256q\NCF_recommendation_short.csv                       | CSV        |          8 |          0 |          0 |          8 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\div256q\Resnet50.csv                                       | CSV        |         56 |          0 |          0 |         56 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\div256q\Sentimental_seqCNN.csv                             | CSV        |          6 |          0 |          0 |          6 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\div256q\Sentimental_seqLSTM_short.csv                      | CSV        |         10 |          0 |          0 |         10 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\div256q\Transformer_short.csv                              | CSV        |         11 |          0 |          0 |         11 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\div4q\AlphaGoZero.csv                                      | CSV        |          9 |          0 |          2 |         11 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\div4q\DeepSpeech2.csv                                      | CSV        |          7 |          0 |          0 |          7 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\div4q\FasterRCNN.csv                                       | CSV        |         47 |          0 |          0 |         47 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\div4q\NCF_recommendation_short.csv                         | CSV        |          7 |          0 |          2 |          9 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\div4q\Resnet50.csv                                         | CSV        |         55 |          0 |          2 |         57 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\div4q\Sentimental_seqCNN.csv                               | CSV        |          5 |          0 |          2 |          7 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\div4q\Sentimental_seqLSTM_short.csv                        | CSV        |          9 |          0 |          2 |         11 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\div4q\Transformer_short.csv                                | CSV        |         10 |          0 |          2 |         12 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\div64q\AlphaGoZero.csv                                     | CSV        |         10 |          0 |          0 |         10 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\div64q\DeepSpeech2.csv                                     | CSV        |          7 |          0 |          0 |          7 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\div64q\FasterRCNN.csv                                      | CSV        |         47 |          0 |          0 |         47 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\div64q\NCF_recommendation_short.csv                        | CSV        |          8 |          0 |          0 |          8 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\div64q\Resnet50.csv                                        | CSV        |         56 |          0 |          0 |         56 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\div64q\Sentimental_seqCNN.csv                              | CSV        |          6 |          0 |          0 |          6 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\div64q\Sentimental_seqLSTM_short.csv                       | CSV        |         10 |          0 |          0 |         10 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\div64q\Transformer_short.csv                               | CSV        |         11 |          0 |          0 |         11 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\legacy\Alexnet.csv                                         | CSV        |          9 |          0 |          2 |         11 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\legacy\Googlenet.csv                                       | CSV        |         59 |          0 |          2 |         61 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\test.csv                                                   | CSV        |          2 |          0 |          2 |          4 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\resnet\resnet_fwd.csv                                             | CSV        |         55 |          0 |          1 |         56 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\resnet\resnet_input_grad.csv                                      | CSV        |         55 |          0 |          1 |         56 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\resnet\resnet_weight_grad.csv                                     | CSV        |         55 |          0 |          1 |         56 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\rnn_eval\LSTM_template.csv                                        | CSV        |         12 |          0 |          1 |         13 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\rnn_eval\deep_voice.csv                                           | CSV        |          4 |          0 |          1 |          5 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\rnn_eval\google_translate_dec.csv                                 | CSV        |          9 |          0 |          2 |         11 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\rnn_eval\google_translate_enc.csv                                 | CSV        |         10 |          0 |          2 |         12 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\rnn_eval\handwriting_rec.csv                                      | CSV        |          3 |          0 |          1 |          4 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\rnn_eval\melody_extraction_detection.csv                          | CSV        |          3 |          0 |          1 |          4 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\transformer\transformer_fwd.csv                                   | CSV        |         55 |          0 |          0 |         55 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\transformer\transformer_inpgrad.csv                               | CSV        |         55 |          0 |          1 |         56 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\transformer\transformer_weightgrad.csv                            | CSV        |         12 |          0 |          1 |         13 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\translation\gpt2.csv                                              | CSV        |          7 |          0 |          0 |          7 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\translation\gpt2_multihead_layers.csv                             | CSV        |          3 |          0 |          1 |          4 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\translation\gpt2_multihead_layers_old.csv                         | CSV        |          3 |          0 |          1 |          4 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\translation\gpt2_new.csv                                          | CSV        |          7 |          0 |          0 |          7 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\translation\gpt2_old.csv                                          | CSV        |          7 |          0 |          0 |          7 |
| d:\python\3.12.2\lib\site-packages\scalesim\topologies\translation\gpt2_sans_mulithead.csv                               | CSV        |          5 |          0 |          1 |          6 |
| d:\python\3.12.2\lib\site-packages\scalesim\topology_utils.py                                                            | Python     |        328 |         21 |         67 |        416 |
| d:\python\3.12.2\lib\site-packages\scalesim\utilities\__init__.py                                                        | Python     |          0 |          0 |          1 |          1 |
| d:\python\3.12.2\lib\site-packages\scalesim\utilities\scalesim_report.py                                                 | Python     |         50 |          8 |         18 |         76 |
| Total                                                                                                                    |            |      9,435 |      1,734 |      1,666 |     12,835 |
+--------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
